order_id,customer_id,product_id,quantity,price,order_date,name,user_name,email,lat,lng,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,weather_condition,store_lat,store_lng
2334,5,40,3,35.6,2022-06-21,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,276.62,275.14,277.79,1010,65,5.78,251,broken clouds,40.671146,-77.146668
6228,8,13,7,36.52,2023-03-08,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,-14.399,-120.7677,283.41,283.41,283.41,1016,53,4.82,253,overcast clouds,36.449239,-70.30095
7784,9,44,4,46.56,2023-04-22,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,24.6463,-168.8889,276.68,275.44,277.85,1015,44,5.66,250,clear sky,37.01926,-81.734148
6588,5,26,1,15.87,2022-10-23,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,272.83,271.38,274.5,1012,51,6.17,220,clear sky,40.309379,-82.605036
5910,8,32,10,77.0,2022-10-05,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,-14.399,-120.7677,275.11,275.11,275.11,1011,61,11.65,246,overcast clouds,41.760467,-65.491409
3983,3,11,4,85.04,2022-11-25,Clementine Bauch,Samantha,Nathan@yesenia.net,-68.6102,-47.0653,287.47,287.47,287.47,1015,85,6.22,75,moderate rain,32.574959,-70.634405
9464,10,15,6,45.41,2023-03-25,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,-38.2386,57.2232,271.8,271.47,273.25,1012,78,8.51,251,scattered clouds,41.048379,-82.570455
8272,9,11,1,71.7,2022-09-10,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,24.6463,-168.8889,277.87,275.51,279.42,1008,43,5.14,280,clear sky,40.483633,-74.276674
3569,5,47,9,19.35,2023-05-25,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,285.61,285.61,285.61,1016,75,4.36,71,overcast clouds,33.35428,-72.491001
2997,7,49,1,39.54,2022-08-09,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,24.8918,21.8984,278.31,278.31,278.31,1016,61,8.54,229,overcast clouds,36.880707,-74.810509
4237,8,10,5,47.66,2022-10-19,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,-14.399,-120.7677,278.0,275.01,279.2,1011,55,6.39,255,clear sky,39.79845,-78.530171
4010,7,40,1,30.73,2023-04-22,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,24.8918,21.8984,272.07,271.32,273.44,1010,55,6.75,246,overcast clouds,41.350434,-79.618622
3760,4,30,4,84.08,2023-03-09,Patricia Lebsack,Karianne,Julianne.OConner@kory.org,29.4572,-164.299,268.24,267.13,268.24,996,85,4.63,202,light snow,46.301797,-74.966366
1098,9,46,2,26.31,2022-07-11,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,24.6463,-168.8889,281.19,280.38,281.51,1017,35,2.43,241,overcast clouds,35.576283,-76.516959
4018,1,20,4,36.85,2022-06-18,Leanne Graham,Bret,Sincere@april.biz,-37.3159,81.1496,282.12,280.93,283.21,1017,43,3.52,33,overcast clouds,33.64068,-78.024371
5427,7,17,10,23.25,2022-11-05,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,24.8918,21.8984,278.92,278.71,279.93,1012,57,10.61,232,overcast clouds,39.435916,-74.130789
4837,10,11,9,74.71,2023-01-14,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,-38.2386,57.2232,279.17,279.17,279.17,1014,61,11.02,233,overcast clouds,38.014849,-73.282698
5200,5,50,6,82.12,2023-02-28,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,270.03,268.8,271.27,1005,74,11.83,260,snow,43.098499,-77.691804
4388,10,32,6,76.36,2022-07-23,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,-38.2386,57.2232,266.95,266.95,266.95,997,81,4.67,304,light snow,46.984115,-77.892264
9042,9,5,3,95.74,2022-09-16,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,24.6463,-168.8889,281.26,281.26,281.26,1017,53,5.64,246,overcast clouds,36.211742,-73.661448
9685,9,40,10,99.72,2023-02-19,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,24.6463,-168.8889,284.34,284.34,284.34,1016,52,4.39,264,overcast clouds,36.049687,-69.564601
3188,10,24,7,20.37,2022-09-20,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,-38.2386,57.2232,280.99,280.12,282.65,1018,39,2.06,350,clear sky,34.113833,-79.441201
8712,2,50,3,76.8,2022-07-22,Ervin Howell,Antonette,Shanna@melissa.tv,-43.9509,-34.4618,276.51,274.99,277.83,1010,64,6.0,253,broken clouds,40.627271,-77.244411
4898,3,9,7,15.84,2022-06-28,Clementine Bauch,Samantha,Nathan@yesenia.net,-68.6102,-47.0653,284.49,284.49,284.49,1016,82,2.63,119,light rain,33.766951,-69.123034
8716,3,11,2,51.09,2022-11-16,Clementine Bauch,Samantha,Nathan@yesenia.net,-68.6102,-47.0653,277.3,276.03,278.31,1004,46,8.05,228,clear sky,40.24785,-76.506287
9863,9,17,8,67.2,2022-11-24,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,24.6463,-168.8889,280.42,279.66,281.25,1015,34,1.79,239,overcast clouds,36.181835,-79.824114
9728,3,9,8,61.04,2022-12-16,Clementine Bauch,Samantha,Nathan@yesenia.net,-68.6102,-47.0653,284.3,284.3,284.3,1016,75,1.36,280,light rain,34.984245,-68.246636
3810,9,6,1,80.49,2022-07-16,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,24.6463,-168.8889,281.02,281.02,281.02,1015,59,9.4,242,overcast clouds,38.137589,-70.434631
